source;target;kind;labels;motivation
PSL;LIOP_A;functional-dependency;laser-beam;a laser beam is passed between these nodes
LIOP_A;LIMC-I_A;functional-dependency;laser-beam;a laser beam is passed between these nodes
LIMC-I_A;LIMC-E_A;functional-dependency;laser-beam;a laser beam is passed between these nodes
LIMC-I_A;LINJ_A;functional-dependency;laser-beam;a laser beam is passed between these nodes
LINJ_A;LPRM_A;functional-dependency;laser-beam;a laser beam is passed between these nodes
LPRM_A;LBS_A;functional-dependency;laser-beam;a laser beam is passed between these nodes
cooling-laser-input;LINJ_A;functional-dependency;cooling;these components are connected for cooling
cooling-laser-input;LPRM_A;functional-dependency;cooling;these components are connected for cooling

LINJ_A;LOOP_A;functional-dependency;laser-beam;a laser beam is passed between these nodes

LOOP_A;LOMC_A;functional-dependency;laser-beam;a laser beam is passed between these nodes
LOOP_A;LSQI_A;functional-dependency;laser-beam;a laser beam is passed between these nodes
LSQI_A;LSEM_A;functional-dependency;laser-beam;a laser beam is passed between these nodes
LSEM_A;LBS_A;functional-dependency;laser-beam;a laser beam is passed between these nodes
cooling-laser-measure;LSQI_A;functional-dependency;cooling;these components are connected for cooling
cooling-laser-measure;LSEM_A;functional-dependency;cooling;these components are connected for cooling

LBS_A;LZM1_AB;functional-dependency;laser-beam;a laser beam is passed between these nodes
LZM1_AB;LZM2_AB;functional-dependency;laser-beam;a laser beam is passed between these nodes
LZM2_AB;LITM_AB;functional-dependency;laser-beam;a laser beam is passed between these nodes
LITM_AB;LETM_AB;functional-dependency;laser-beam;a laser beam is passed between these nodes
LETM_AB;LCal1_AB;functional-dependency;laser-beam;a laser beam is passed between these nodes
LCal1_AB;LCal2_AB;functional-dependency;laser-beam;a laser beam is passed between these nodes
cooling-LITM_AB-AS;LITM_AB;functional-dependency;cooling;these components are connected for cooling
cooling-LITM_AB-TS;LITM_AB;functional-dependency;cooling;these components are connected for cooling
cooling-LETM_AB-AS;LITM_AB;functional-dependency;cooling;these components are connected for cooling
cooling-LETM_AB-TS;LITM_AB;functional-dependency;cooling;these components are connected for cooling

LBS_A;LZM1_AC;functional-dependency;laser-beam;a laser beam is passed between these nodes
LZM1_AC;LZM2_AC;functional-dependency;laser-beam;a laser beam is passed between these nodes
LZM2_AC;LITM_AC;functional-dependency;laser-beam;a laser beam is passed between these nodes
LITM_AC;LETM_AC;functional-dependency;laser-beam;a laser beam is passed between these nodes
LETM_AC;LCal1_AC;functional-dependency;laser-beam;a laser beam is passed between these nodes
LCal1_AC;LCal2_AC;functional-dependency;laser-beam;a laser beam is passed between these nodes
cooling-LITM_AC-AS;LITM_AC;functional-dependency;cooling;these components are connected for cooling
cooling-LITM_AC-TS;LITM_AC;functional-dependency;cooling;these components are connected for cooling
cooling-LETM_AC-AS;LITM_AC;functional-dependency;cooling;these components are connected for cooling
cooling-LETM_AC-TS;LITM_AC;functional-dependency;cooling;these components are connected for cooling

LSQI_A;beam-conditioning;functional-dependency;squeezed-light;a sqeezed light beam is passed between these nodes
squeezed-light-source;beam-conditioning;functional-dependency;squeezed-light;a sqeezed light beam is passed between these nodes
beam-conditioning;LFC1-IM1_A;functional-dependency;squeezed-light;a sqeezed light beam is passed between these nodes
LFC1-IM1_A;LFC1-IM2_A;functional-dependency;squeezed-light;a sqeezed light beam is passed between these nodes
LFC1-IM2_A;LFC1-EM_A;functional-dependency;squeezed-light;a sqeezed light beam is passed between these nodes
LFC1-EM_A;LSQ-EM1_A;functional-dependency;squeezed-light;a sqeezed light beam is passed between these nodes
beam-conditioning;LFC2-IM1_A;functional-dependency;squeezed-light;a sqeezed light beam is passed between these nodes
LFC2-IM1_A;LFC2-IM2_A;functional-dependency;squeezed-light;a sqeezed light beam is passed between these nodes
LFC2-IM2_A;LFC2-EM_A;functional-dependency;squeezed-light;a sqeezed light beam is passed between these nodes
LFC2-EM_A;LSQ-EM2_A;functional-dependency;squeezed-light;a sqeezed light beam is passed between these nodes

LIOP_A;filter-0;functional-dependency;part-of;part of the node	
LIOP_A;standard-filter;functional-dependency;part-of;part of the node					
LIOP_A;blade-springs;functional-dependency;part-of;part of the node	
LIOP_A;suspension-wires;functional-dependency;part-of;part of the node	
LIOP_A;Mu-metal-sheath;functional-dependency;part-of;part of the node	

LIMC-I_A;filter-0;functional-dependency;part-of;part of the node	
LIMC-I_A;standard-filter;functional-dependency;part-of;part of the node					
LIMC-I_A;blade-springs;functional-dependency;part-of;part of the node	
LIMC-I_A;suspension-wires;functional-dependency;part-of;part of the node
LIMC-I_A;inter-platform-optical-system;functional-dependency;part-of;part of the node										
LIMC-I_A;Mu-metal-sheath;functional-dependency;part-of;part of the node		

LINJ_A;filter-0;functional-dependency;part-of;part of the node	
LINJ_A;standard-filter;functional-dependency;part-of;part of the node					
LINJ_A;blade-springs;functional-dependency;part-of;part of the node	
LINJ_A;suspension-wires;functional-dependency;part-of;part of the node
LINJ_A;inter-platform-optical-system;functional-dependency;part-of;part of the node						
LINJ_A;rough-pumping-system;functional-dependency;part-of;part of the node	
LINJ_A;intermediate-pumping-system;functional-dependency;part-of;part of the node	
LINJ_A;continuous-pumping-system;functional-dependency;part-of;part of the node		
LINJ_A;Mu-metal-sheath;functional-dependency;part-of;part of the node			

LPRM_A;filter-0;functional-dependency;part-of;part of the node	
LPRM_A;standard-filter;functional-dependency;part-of;part of the node					
LPRM_A;blade-springs;functional-dependency;part-of;part of the node	
